"layer","layer_role","x","y","visual_label","behavior","parameter","modifiers","purpose","usage_notes"
"0","Base typing and thumb access","0","0","escape","Key Press","Escape","","Evolved (selected): Sends Escape.","Sends Escape."
"0","Base typing and thumb access","1","0","1","Key Press","1","","Evolved (selected): Sends 1.","Sends 1."
"0","Base typing and thumb access","2","0","2","Key Press","2","","Evolved (selected): Sends 2.","Sends 2."
"0","Base typing and thumb access","3","0","3","Key Press","3","","Evolved (selected): Sends 3.","Sends 3."
"0","Base typing and thumb access","4","0","4","Key Press","4","","Evolved (selected): Sends 4.","Sends 4."
"0","Base typing and thumb access","5","0","5","Key Press","5","","Evolved (selected): Sends 5.","Sends 5."
"0","Base typing and thumb access","7","0","6","Key Press","6","","Evolved (selected): Sends 6.","Sends 6."
"0","Base typing and thumb access","8","0","7","Key Press","7","","Evolved (selected): Sends 7.","Sends 7."
"0","Base typing and thumb access","9","0","8","Key Press","8","","Evolved (selected): Sends 8.","Sends 8."
"0","Base typing and thumb access","10","0","9","Key Press","9","","Evolved (selected): Sends 9.","Sends 9."
"0","Base typing and thumb access","11","0","0","Key Press","0","","Evolved (selected): Sends 0.","Sends 0."
"0","Base typing and thumb access","12","0","delete","Key Press","Delete","","Evolved (selected): Sends Delete.","Sends Delete."
"0","Base typing and thumb access","0","1","tab","Key Press","Tab","","Evolved (selected): Sends Tab.","Sends Tab."
"0","Base typing and thumb access","1","1","q","Key Press","Q","","Evolved (selected): Sends Q.","Sends Q."
"0","Base typing and thumb access","2","1","w","Key Press","W","","Evolved (selected): Sends W.","Sends W."
"0","Base typing and thumb access","3","1","e","Key Press","E","","Evolved (selected): Sends E.","Sends E."
"0","Base typing and thumb access","4","1","r","Key Press","R","","Evolved (selected): Sends R.","Sends R."
"0","Base typing and thumb access","5","1","t","Key Press","T","","Evolved (selected): Sends T.","Sends T."
"0","Base typing and thumb access","7","1","y","Key Press","Y","","Evolved (selected): Sends Y.","Sends Y."
"0","Base typing and thumb access","8","1","u","Key Press","U","","Evolved (selected): Sends U.","Sends U."
"0","Base typing and thumb access","9","1","i","Key Press","I","","Evolved (selected): Sends I.","Sends I."
"0","Base typing and thumb access","10","1","o","Key Press","O","","Evolved (selected): Sends O.","Sends O."
"0","Base typing and thumb access","11","1","p","Key Press","P","","Evolved (selected): Sends P.","Sends P."
"0","Base typing and thumb access","12","1","left brace","Key Press","{","","Evolved (selected): Sends {.","Sends {."
"0","Base typing and thumb access","0","2","leftshift","Key Press","LeftShift","","Evolved (selected): Sends LeftShift.","Sends LeftShift."
"0","Base typing and thumb access","1","2","a","Key Press","A","","Evolved (selected): Sends A.","Sends A."
"0","Base typing and thumb access","2","2","s","Key Press","S","","Evolved (selected): Sends S.","Sends S."
"0","Base typing and thumb access","3","2","d","Key Press","D","","Evolved (selected): Sends D.","Sends D."
"0","Base typing and thumb access","4","2","f","Key Press","F","","Evolved (selected): Sends F.","Sends F."
"0","Base typing and thumb access","5","2","g","Key Press","G","","Evolved (selected): Sends G.","Sends G."
"0","Base typing and thumb access","7","2","h","Key Press","H","","Evolved (selected): Sends H.","Sends H."
"0","Base typing and thumb access","8","2","j","Key Press","J","","Evolved (selected): Sends J.","Sends J."
"0","Base typing and thumb access","9","2","k","Key Press","K","","Evolved (selected): Sends K.","Sends K."
"0","Base typing and thumb access","10","2","l","Key Press","L","","Evolved (selected): Sends L.","Sends L."
"0","Base typing and thumb access","11","2","semicolon","Key Press",":","","Evolved (selected): Sends :.","Sends :."
"0","Base typing and thumb access","12","2","left apos","Key Press","""","","Evolved (selected): Sends "".","Sends ""."
"0","Base typing and thumb access","0","3","leftcontrol","Key Press","LeftControl","","Evolved (selected): Sends LeftControl.","Sends LeftControl."
"0","Base typing and thumb access","1","3","z","Key Press","Z","","Evolved (selected): Sends Z.","Sends Z."
"0","Base typing and thumb access","2","3","x","Key Press","X","","Evolved (selected): Sends X.","Sends X."
"0","Base typing and thumb access","3","3","c","Key Press","C","","Evolved (selected): Sends C.","Sends C."
"0","Base typing and thumb access","4","3","v","Key Press","V","","Evolved (selected): Sends V.","Sends V."
"0","Base typing and thumb access","5","3","b","Key Press","B","","Evolved (selected): Sends B.","Sends B."
"0","Base typing and thumb access","7","3","n","Key Press","N","","Evolved (selected): Sends N.","Sends N."
